留言时间,评分,回复数,点赞数,图片数,评论内容
2020/11/14 23:37,5,18,30,0,已经购买了很多很多次了。非常经济实惠，干湿分离，坚果很爽脆，果干很新鲜，里面有巴坦木仁，开心果仁，榛子仁，夏威夷果仁，核桃仁，腰果仁，黑加仑葡萄干，蔓越莓干，蓝莓干，每一样都是如此每位，根本停不下来。独立包装，每日一包，携带方便，营养丰富。
2021/1/10 19:35,5,2,6,2,双十一购买了两箱，价格实惠，坚果很爽脆，独立包装，干湿分离，有巴旦木仁，开心果仁，榛子仁，夏威夷果仁，核桃仁，腰果仁，葡萄干，蔓越莓干，蓝莓干，很好食，食不停
2019/12/21 23:29,5,10,160,2,第三次购买了，太好吃了，包装设计简洁大方，干湿分离，锁住水分，保障了干果的松脆，吃的时候中间打开混合在一起，口味丰富。六种坚果，三种果干，有巴旦木仁，开心果仁，榛子仁，夏威夷果仁，核桃仁，腰果仁，都很干净饱满，还有葡萄干，蔓越莓干，蓝莓干。混在一起吃特别好吃。
2020/12/1 15:28,5,1,15,8,"很棒的一款，用了神倦 ; 少花一半，去gon g 仲号领；京""（酷），你叟所一下。已经购买了很多很多次了。非常经济实惠，干湿分离，坚果很爽脆，果干很新鲜，里面有巴坦木仁，开心果仁，榛子仁，夏威夷果仁，核桃仁，腰果仁，黑加仑葡萄干，蔓越莓干，蓝莓干，每一样都是如此每位，根本停不下来。独立包装，每日一包，携带方便，营养丰富。补充每天所需的膳食纤维，坚果味搭配酸酸甜甜的味道，确实很好吃，果干的水分控制的也是相当棒，不会粘牙，里面有30小袋，每个都有25g呢，每天吃一袋，足够我吃一个月了，京东物流也超级棒，当天下单第二天就到了，真的非常喜欢京东，下回我还要买。大品牌值得信赖。"
2019/12/20 16:48,5,2,80,3,包装设计简洁大方，干湿分离，锁住了水分，又保障了干果松脆，吃的时候中间打开混合在一起炒，口味丰富，每天一包，补充营养，元气满满，里面的干果都很饱满，核桃仁去皮了，少了苦涩的味道，外出携带很方便，京东活动很给力，必须五星好评。
2020/6/10 22:14,5,2,40,4,活动入手超值，包装简洁大方，一箱30小袋，独立单包，便于携带，干湿分离，锁住了果干的水分，又保住了坚果的酥脆，几种口味混搭营养全面，每天一包+酸奶搭配，元气满满，脆脆酸酸甜甜的，口感很好，吃完再囤，大品牌值得信赖。
2021/1/3 10:46,5,2,2,1,非常好吃的每日坚果。\n口感好吃，小包装，食用方便，每天出门带一个。\n营养价值高，补充每日所需不饱和脂肪酸。\n价格实惠，坚果品种多，营养丰富。
2020/9/11 19:43,5,0,16,3,好吃好吃?真的不错?干果的品种很多 有杏仁 核桃 开心果 碧根果 葡萄干等等 营养很全面 正好有满减活动 很便宜 一天吃一包 能吃一个月 太划算了?京东物流很快 早上买的下午就到了 感谢京东 感谢快递小哥！
2020/11/6 15:45,5,0,7,2,"三只松鼠零食我一下子买了三个月箱，搭配牛奶更好吃,好吃且新鲜,都说好吃价格比较便宜,还是一如既往的好吃,每小包里面都是干湿分离的,而且很有营养,味道也很好,酸酸甜甜的干果加上香脆的坚果。颗颗饱满,粒粒香甜有倦哦超级喜欢超市便宜很多,而且大品牌值得拥有。"
2020/12/10 14:38,5,0,2,2,三只松鼠每日坚果大礼包，大品牌，值得信赖，包装设计简洁大方，都是独立包装，干湿分离，既锁住了水分，又保证了坚果的松脆，中间有个小隔层，打开后，可以将干果和湿果混合起来吃，酸酸甜甜的，味道超级棒。干果很新鲜，推荐大家购买。
留言时间,评分,回复数,点赞数,图片数,评论内容
2020/11/14 23:37,5,18,30,0,已经购买了很多很多次了。非常经济实惠，干湿分离，坚果很爽脆，果干很新鲜，里面有巴坦木仁，开心果仁，榛子仁，夏威夷果仁，核桃仁，腰果仁，黑加仑葡萄干，蔓越莓干，蓝莓干，每一样都是如此每位，根本停不下来。独立包装，每日一包，携带方便，营养丰富。
